member,kind,bytes,sha256
data_release/psc_gwas_fine_mapping/CD28.config,file,3039694,10307a2b9a388178814af491ac0450fd60f96e41068a473d1f112b593f4fec1b
data_release/psc_gwas_fine_mapping/CD28.log,file,1795,a14af3e36110c43622de7430c128bc5d443317d813c483f9ea625e16c33ab416
data_release/psc_gwas_fine_mapping/CD28.snp,file,73429,1713a54834965c99602be01270ae304ab6b18ff4c555cdb2010bfb08fd9119f6
data_release/psc_gwas_fine_mapping/CLEC16A.config,file,2750990,36bf1b8b46a762e5c7b9bcffff2e4078bea25da3d45762147084057e739aa71c
data_release/psc_gwas_fine_mapping/CLEC16A.log,file,1809,f073e0d86f09507b6d7635bc7563f062abb22c61a4f922154c31df3f729cfe62
data_release/psc_gwas_fine_mapping/CLEC16A.snp,file,110325,574c66979d303befd32fa6f797a6628fc18633119e52cde093e3bdc6308bd8d0
data_release/psc_gwas_fine_mapping/FOXP1.config,file,3275561,c0719faa2ef794419549167a0e1c0e691dfe97a949144730507bc73b3d8f8e99
data_release/psc_gwas_fine_mapping/FOXP1.log,file,1800,7f907b18797bcf15519e926c2639c745ed5c242d0d5464bb7944d935e6942537
data_release/psc_gwas_fine_mapping/FOXP1.snp,file,56876,dd962690c187a7e184a60c9ea9d887846f17fd65cc1daeadaccbe749c507c1a6
data_release/psc_gwas_fine_mapping/GPR35.config,file,3026221,3982a2316b0e48ea06fa1293399567fc55714629cadc7b8207e9e12933f70c9a
data_release/psc_gwas_fine_mapping/GPR35.log,file,1800,2a4a01b04ad9186b43764f1a336384c2f9a5915926af433f162361c42d4bd595
data_release/psc_gwas_fine_mapping/GPR35.snp,file,113864,3da9ffe3dd019e71dbc570f16eb3013495b013c8075a4e3914fe62e93917cb33
data_release/psc_gwas_fine_mapping/HDAC7.config,file,2719882,0bc71f05de14943ef7eef15f1c5185a95ea2bed82479f392f494ce67a9916830
data_release/psc_gwas_fine_mapping/HDAC7.log,file,1805,e4b24d4bba594aacc76fa883d0347f74d6c454c151510f8efc061642218fa405
data_release/psc_gwas_fine_mapping/HDAC7.snp,file,105895,8f2d01b7021638a057c8216d9e28f4c1e6784cc1f9887dcb27cc5fd40ea9441b
data_release/psc_gwas_fine_mapping/IL21.config,file,2824564,40805b126c89f1f4fdb691ff7dff0d1ad0892e7434364a7630fdb7fa7341fc2a
data_release/psc_gwas_fine_mapping/IL21.log,file,1796,33e59d5513351a41b2b40fea1ba112d17b9ce656faf1c795bf0c7a19a1de0ddf
data_release/psc_gwas_fine_mapping/IL21.snp,file,74142,0e3f0c7ea2ac240070c454327603d4b340e3a7d073bc066ecb10eb736b7da553
data_release/psc_gwas_fine_mapping/IL2RA.config,file,3076383,625b4b63337c677a1a9e410078a76a908af603e383750a32493c557855a9634e
data_release/psc_gwas_fine_mapping/IL2RA.log,file,1800,0d49695f0678c34d676c5a9dfa1ed5d90501039e42014bbfbc3559c9e2e0eb64
data_release/psc_gwas_fine_mapping/IL2RA.snp,file,105992,32a98ba8064c6add66ed4e1099c2ab1be817bcc86e73040384bc41eab8afb687
data_release/psc_gwas_fine_mapping/MMEL1.config,file,2694486,3e839b82bab42c80b7e5ece621548fb7be3682c06212a7a113c223713ffa1638
data_release/psc_gwas_fine_mapping/MMEL1.log,file,1801,9d76eb18e868f98b7e6cba2c1e644a234b05daa1ce5e596ada610bcc49ff9c72
data_release/psc_gwas_fine_mapping/MMEL1.snp,file,59024,971c2edcaa05d414f471cc03b54f20de9497060d0d7b89afeea895c981c98eea
data_release/psc_gwas_fine_mapping/MST1.config,file,3373675,a80012de1b1c599721a2e2ceebea497a7e9fd36991a474c7c1850c7c70aa0ea0
data_release/psc_gwas_fine_mapping/MST1.log,file,1796,eecc8e7ec4d5463074ba7b763be5d605a93b59214febf55629c1567cc6cd94e1
data_release/psc_gwas_fine_mapping/MST1.snp,file,43035,f6c70e6367b77374f5347429d29f851b0103c80a5b334b77b890cdc7f8943d87
data_release/psc_gwas_fine_mapping/PRKD2.config,file,2837772,c905058fc5b525ba76c463b2a1775a3c9eeb90fcd7330b20adddc4630e607edf
