experiment,file_accession,group,experiment_audit_levels,file_audit_levels,qualified,donor_ids
ENCSR000ASJ,ENCFF560PQQ,H3K27ac,INTERNAL_ACTION;WARNING,INTERNAL_ACTION;WARNING,True,ENCDO265AAA
ENCSR000ASM,ENCFF493TKQ,H3K4me1,INTERNAL_ACTION;NOT_COMPLIANT;WARNING,INTERNAL_ACTION;NOT_COMPLIANT;WARNING,True,ENCDO265AAA
ENCSR000ASN,ENCFF112PES,H3K4me3,INTERNAL_ACTION;WARNING,INTERNAL_ACTION;WARNING,True,ENCDO265AAA
ENCSR000DWL,ENCFF651GXK,H3K4me3,INTERNAL_ACTION;WARNING,INTERNAL_ACTION;WARNING,True,ENCDO265AAA
ENCSR000EPK,ENCFF037QHE,DNase-seq,INTERNAL_ACTION,,True,ENCDO265AAA
ENCSR012PII,ENCFF933WTT,H3K27ac,INTERNAL_ACTION;WARNING,INTERNAL_ACTION;WARNING,True,ENCDO190HXC
ENCSR073CPU,ENCFF150UHK,DNase-seq,INTERNAL_ACTION,INTERNAL_ACTION,True,ENCDO550JMB
ENCSR400VWA,ENCFF366GZW,H3K4me1,INTERNAL_ACTION;NOT_COMPLIANT;WARNING,INTERNAL_ACTION;NOT_COMPLIANT,True,ENCDO190HXC
