experiment,file_accession,assembly,file_status,file_format,output_type,file_size,audit_levels,eligible,reason,biological_replicates
ENCSR000ASM,ENCFF432WWX,hg19,released,bigWig,fold change over control,238622043,,False,file not GRCh38; not BED; not an eligible peak output; unknown file size or transfer cap,2
ENCSR000ASM,ENCFF954MCG,hg19,released,bigBed,replicated peaks,4678714,,False,file not GRCh38; not BED,1;2
ENCSR000ASM,ENCFF551WTT,hg19,released,bigWig,signal p-value,569619951,,False,file not GRCh38; not BED; not an eligible peak output; unknown file size or transfer cap,1;2
ENCSR000ASM,ENCFF339FZJ,hg19,released,bigWig,fold change over control,226884150,,False,file not GRCh38; not BED; not an eligible peak output; unknown file size or transfer cap,1
ENCSR000ASM,ENCFF731YSQ,hg19,released,bigWig,fold change over control,393486257,,False,file not GRCh38; not BED; not an eligible peak output; unknown file size or transfer cap,1;2
ENCSR000ASM,ENCFF608BGQ,hg19,released,bed,replicated peaks,2496808,,False,file not GRCh38,1;2
ENCSR000ASM,ENCFF669AVC,GRCh38,released,bigWig,fold change over control,333427334,,False,not BED; not an eligible peak output; unknown file size or transfer cap,1
ENCSR000ASM,ENCFF719NSJ,GRCh38,released,bed,replicated peaks,2448357,,True,,1;2
ENCSR000ASM,ENCFF506HQE,GRCh38,released,bigWig,signal p-value,857605454,,False,not BED; not an eligible peak output; unknown file size or transfer cap,2
ENCSR000ASM,ENCFF698WWK,GRCh38,released,bigBed,pseudoreplicated peaks,4332555,,False,not BED; not an eligible peak output,2
ENCSR000ASM,ENCFF871RRU,GRCh38,released,bam,unfiltered alignments,910107226,,False,not BED; not an eligible peak output; unknown file size or transfer cap,1
ENCSR000ASM,ENCFF232WBI,GRCh38,released,bam,unfiltered alignments,674887760,,False,not BED; not an eligible peak output; unknown file size or transfer cap,2
ENCSR000ASM,ENCFF141KHX,GRCh38,released,bam,alignments,518360426,,False,not BED; not an eligible peak output; unknown file size or transfer cap,1
ENCSR000ASM,ENCFF128NER,GRCh38,released,bigWig,signal p-value,827468099,,False,not BED; not an eligible peak output; unknown file size or transfer cap,1
ENCSR000ASM,ENCFF281FSL,GRCh38,released,bigWig,fold change over control,350456312,,False,not BED; not an eligible peak output; unknown file size or transfer cap,2
ENCSR000ASM,ENCFF535JDY,GRCh38,released,bed,pseudoreplicated peaks,2135003,,False,not an eligible peak output,1
ENCSR000ASM,ENCFF747JTP,GRCh38,released,bed,pseudoreplicated peaks,2282612,,False,not an eligible peak output,2
ENCSR000ASM,ENCFF063EOQ,GRCh38,released,bigBed,pseudoreplicated peaks,4165878,,False,not BED; not an eligible peak output,1
ENCSR000ASM,ENCFF885SIK,GRCh38,released,bigBed,replicated peaks,4520937,,False,not BED,1;2
ENCSR000ASN,ENCFF000CDM,hg19,archived,bigBed,peaks,1826150,,False,file not released; file not GRCh38; not BED,
ENCSR000ASN,ENCFF000CDN,hg19,archived,bam,alignments,785614264,,False,file not released; file not GRCh38; not BED; not an eligible peak output; unknown file size or transfer cap,2
ENCSR000ASN,ENCFF000CDO,hg19,archived,bam,alignments,891228442,,False,file not released; file not GRCh38; not BED; not an eligible peak output; unknown file size or transfer cap,1
ENCSR000ASN,ENCFF000CDP,hg19,archived,bigWig,signal,225954434,,False,file not released; file not GRCh38; not BED; not an eligible peak output; unknown file size or transfer cap,
ENCSR000ASN,ENCFF000CDX,,released,fastq,reads,876159551,,False,file not GRCh38; not BED; not an eligible peak output; unknown file size or transfer cap,1
ENCSR000ASN,ENCFF000CDZ,,released,fastq,reads,807561114,,False,file not GRCh38; not BED; not an eligible peak output; unknown file size or transfer cap,2
ENCSR000ASN,ENCFF001TAL,hg19,archived,bed,peaks,1048252,,False,file not released; file not GRCh38,
ENCSR000ASN,ENCFF144PKE,GRCh38,released,bam,alignments,1766785209,,False,not BED; not an eligible peak output; unknown file size or transfer cap,1
ENCSR000ASN,ENCFF640GCK,GRCh38,released,bam,alignments,536059354,,False,not BED; not an eligible peak output; unknown file size or transfer cap,2
ENCSR000ASN,ENCFF284CAJ,GRCh38,released,bigWig,signal p-value,1063643018,,False,not BED; not an eligible peak output; unknown file size or transfer cap,1
ENCSR000ASN,ENCFF587XGD,GRCh38,released,bigWig,fold change over control,1195542570,,False,not BED; not an eligible peak output; unknown file size or transfer cap,1;2
ENCSR000ASN,ENCFF626LBY,GRCh38,released,bigWig,signal p-value,1239008068,,False,not BED; not an eligible peak output; unknown file size or transfer cap,1;2
ENCSR000ASN,ENCFF992KDU,GRCh38,released,bed,pseudoreplicated peaks,1306590,,False,not an eligible peak output,1
ENCSR000ASN,ENCFF938FAI,GRCh38,released,bed,pseudoreplicated peaks,1436297,,False,not an eligible peak output,1;2
ENCSR000ASN,ENCFF153KWL,GRCh38,released,bigBed,pseudoreplicated peaks,2782198,,False,not BED; not an eligible peak output,1
ENCSR000ASN,ENCFF761VEY,GRCh38,released,bam,unfiltered alignments,957693569,,False,not BED; not an eligible peak output; unknown file size or transfer cap,2
ENCSR000ASN,ENCFF994YEY,GRCh38,released,bigWig,signal p-value,894306851,,False,not BED; not an eligible peak output; unknown file size or transfer cap,2
ENCSR000ASN,ENCFF367ZHA,GRCh38,released,bigWig,fold change over control,365987136,,False,not BED; not an eligible peak output; unknown file size or transfer cap,2
ENCSR000ASN,ENCFF399MSH,,released,fastq,reads,1104738908,,False,file not GRCh38; not BED; not an eligible peak output; unknown file size or transfer cap,1
ENCSR000ASN,ENCFF673FDJ,GRCh38,released,bed,pseudoreplicated peaks,1223320,,False,not an eligible peak output,2
ENCSR000ASN,ENCFF807WDX,GRCh38,released,bigBed,pseudoreplicated peaks,2972681,,False,not BED; not an eligible peak output,1;2
ENCSR000ASN,ENCFF947JHS,GRCh38,released,bigBed,replicated peaks,2978380,,False,not BED,1;2
ENCSR000ASN,ENCFF794SXN,GRCh38,released,bam,unfiltered alignments,981654127,,False,not BED; not an eligible peak output; unknown file size or transfer cap,2
ENCSR000ASN,ENCFF644LDL,GRCh38,released,bam,unfiltered alignments,2608119990,,False,not BED; not an eligible peak output; unknown file size or transfer cap,1
ENCSR000ASN,ENCFF393WAI,GRCh38,released,bam,alignments,500116972,,False,not BED; not an eligible peak output; unknown file size or transfer cap,2
ENCSR000ASN,ENCFF521ESS,GRCh38,released,bam,alignments,1706198401,,False,not BED; not an eligible peak output; unknown file size or transfer cap,1
ENCSR000ASN,ENCFF532BXQ,GRCh38,released,bed,peaks,1117050,,True,,1
ENCSR000ASN,ENCFF925SJT,GRCh38,released,bed,peaks,1221406,,True,,1;2
ENCSR000ASN,ENCFF640ZHV,GRCh38,released,bed,peaks,1287341,,True,,2
ENCSR000ASN,ENCFF695OZQ,GRCh38,released,bigBed,peaks,3738106,,False,not BED,2
ENCSR000ASN,ENCFF506IQH,GRCh38,released,bigBed,peaks,3304605,,False,not BED,1
ENCSR000ASN,ENCFF517YIG,GRCh38,released,bigBed,peaks,3517377,,False,not BED,1;2
ENCSR000ASN,ENCFF152AQH,GRCh38,released,bigWig,signal p-value,790275591,,False,not BED; not an eligible peak output; unknown file size or transfer cap,1
ENCSR000ASN,ENCFF702TBF,GRCh38,released,bigWig,signal p-value,481153100,,False,not BED; not an eligible peak output; unknown file size or transfer cap,2
ENCSR000ASN,ENCFF468NQS,GRCh38,released,bigWig,fold change over control,749082609,,False,not BED; not an eligible peak output; unknown file size or transfer cap,1
ENCSR000ASN,ENCFF308XMM,GRCh38,released,bigWig,signal p-value,806422736,,False,not BED; not an eligible peak output; unknown file size or transfer cap,1;2
ENCSR000ASN,ENCFF691MBD,GRCh38,released,bigBed,replicated peaks,3069602,,False,not BED,1;2
