experiment,assay_title,histone_mark,selected_group,search_audit_levels,status
ENCSR236EYO,intact Hi-C,,,INTERNAL_ACTION,outside prespecified assay/mark scope
ENCSR236JVK,Histone ChIP-seq,H3K9me3,,INTERNAL_ACTION;NOT_COMPLIANT;WARNING,outside prespecified assay/mark scope
ENCSR241BNZ,DNase-seq,,DNase-seq,INTERNAL_ACTION;WARNING,later accession after two qualifying experiments
ENCSR244XWL,Histone ChIP-seq,H3K36me3,,INTERNAL_ACTION;NOT_COMPLIANT;WARNING,outside prespecified assay/mark scope
ENCSR245YME,Mint-ChIP-seq,H3K4me3,,INTERNAL_ACTION;NOT_COMPLIANT;WARNING,outside prespecified assay/mark scope
ENCSR252NGG,total RNA-seq,,,INTERNAL_ACTION;WARNING,outside prespecified assay/mark scope
ENCSR264LON,polyA plus RNA-seq,,,INTERNAL_ACTION,outside prespecified assay/mark scope
ENCSR267NWZ,Mint-ChIP-seq,H3K4me3,,INTERNAL_ACTION;WARNING,outside prespecified assay/mark scope
ENCSR277ZHX,DNase-seq,,DNase-seq,INTERNAL_ACTION;WARNING,later accession after two qualifying experiments
ENCSR284ZZR,Mint-ChIP-seq,H3K9me3,,INTERNAL_ACTION;WARNING,outside prespecified assay/mark scope
ENCSR288RCG,DNase-seq,,DNase-seq,INTERNAL_ACTION,later accession after two qualifying experiments
ENCSR297FIU,Mint-ChIP-seq,H3K27ac,,INTERNAL_ACTION;WARNING,outside prespecified assay/mark scope
ENCSR310WXY,Control Mint-ChIP-seq,,,INTERNAL_ACTION;WARNING,outside prespecified assay/mark scope
ENCSR319HLH,Mint-ChIP-seq,H3K27ac,,INTERNAL_ACTION;WARNING,outside prespecified assay/mark scope
ENCSR343TXL,DNase-seq,,DNase-seq,INTERNAL_ACTION,later accession after two qualifying experiments
ENCSR351BFL,total RNA-seq,,,INTERNAL_ACTION;WARNING,outside prespecified assay/mark scope
ENCSR364YDG,DNase-seq,,DNase-seq,INTERNAL_ACTION,later accession after two qualifying experiments
ENCSR365IQY,Control Mint-ChIP-seq,,,INTERNAL_ACTION;WARNING,outside prespecified assay/mark scope
ENCSR369WFK,Mint-ChIP-seq,H3K36me3,,INTERNAL_ACTION;WARNING,outside prespecified assay/mark scope
ENCSR376UDG,DNase-seq,,DNase-seq,INTERNAL_ACTION,later accession after two qualifying experiments
ENCSR378EPS,Mint-ChIP-seq,H3K27ac,,INTERNAL_ACTION;WARNING,outside prespecified assay/mark scope
ENCSR384HOK,polyA plus RNA-seq,,,INTERNAL_ACTION;WARNING,outside prespecified assay/mark scope
ENCSR386IID,Mint-ChIP-seq,H3K36me3,,INTERNAL_ACTION;WARNING,outside prespecified assay/mark scope
