filename,uncompressed_bytes,compressed_bytes,compression_method,local_header_offset,crc32
dMean__B_4_r_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.18.tsv,59724638,18858139,8,5809226506,4100399618
dMean__B_4_r_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.13.tsv,76639364,24001627,8,5828084777,2678995349
dMean__Epithelial_6_r_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.3.tsv,257737091,84575566,8,5852086536,1604432209
dMean__Epithelial_6_r_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.15.tsv,144870685,47928724,8,5936662242,2394342317
dMean__Epithelial_6_r_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.16.tsv,194992717,65390689,8,5984591107,163585634
dMean__Epithelial_6_r_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.4.tsv,191710076,62658859,8,6049981937,519696773
dMean__Epithelial_6_r_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.21.tsv,54114665,17893653,8,6112640936,1276626341
dMean__Epithelial_6_r_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.7.tsv,227848644,75420407,8,6130534730,4259698955
dMean__Epithelial_6_r_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.22.tsv,96310543,31914900,8,6205955277,696330519
dMean__Epithelial_6_r_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.11.tsv,249813930,81940045,8,6237870318,3360122867
dMean__Epithelial_6_r_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.6.tsv,302573100,93984028,8,6319810504,824204709
dMean__Epithelial_6_r_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.2.tsv,295795513,97592126,8,6413794672,1385941402
dMean__Epithelial_6_r_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.17.tsv,249107480,82536666,8,6511386938,1123880851
dMean__Epithelial_6_r_all/OPTIM_pcs/base_output/base/Cis_eqtls_qval.tsv,2763607,1182487,8,6593923745,4048323047
dMean__Epithelial_6_r_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.5.tsv,195023650,64174117,8,6595106358,3793398232
dMean__Epithelial_6_r_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.9.tsv,183762868,61197876,8,6659280615,625276004
dMean__Epithelial_6_r_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.19.tsv,337937585,112026824,8,6720478631,2924844842
dMean__Epithelial_6_r_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.10.tsv,182739571,59479225,8,6832505596,2596993220
dMean__Epithelial_6_r_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.8.tsv,158270744,52330656,8,6891984962,4095827051
