dataset_key,dataset_id,modality,suspension_type,threshold,author_cell_type,comparison_id,comparison,status,observed_donors,donors,spearman_rho,assays_collapsed_within_donor,interpretation
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,50,LAM-like,ets2_log2_cpm1,primary_program_vs_ETS2_log2CPM1,evaluable_descriptive,8,6,0.942857142857143,True,descriptive_small_n_no_p_value
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,50,LAM-like,inflammation,primary_program_vs_inflammation,evaluable_descriptive,8,6,0.7714285714285715,True,descriptive_small_n_no_p_value
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,50,LAM-like,interferon_gamma,primary_program_vs_interferon_gamma,evaluable_descriptive,8,6,0.8285714285714287,True,descriptive_small_n_no_p_value
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,50,LAM-like,oxidative_stress,primary_program_vs_oxidative_stress,evaluable_descriptive,8,6,0.7714285714285715,True,descriptive_small_n_no_p_value
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,20,Monocyte,apoptotic_signaling,primary_program_vs_apoptotic_signaling,evaluable_descriptive,8,8,0.8095238095238096,True,descriptive_small_n_no_p_value
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,20,Monocyte,ets2_log2_cpm1,primary_program_vs_ETS2_log2CPM1,evaluable_descriptive,8,8,0.5000000000000001,True,descriptive_small_n_no_p_value
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,20,Monocyte,inflammation,primary_program_vs_inflammation,evaluable_descriptive,8,8,0.5952380952380953,True,descriptive_small_n_no_p_value
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,20,Monocyte,interferon_gamma,primary_program_vs_interferon_gamma,evaluable_descriptive,8,8,0.4285714285714286,True,descriptive_small_n_no_p_value
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,20,Monocyte,oxidative_stress,primary_program_vs_oxidative_stress,evaluable_descriptive,8,8,0.6666666666666669,True,descriptive_small_n_no_p_value
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,50,Monocyte,apoptotic_signaling,primary_program_vs_apoptotic_signaling,evaluable_descriptive,8,7,0.8928571428571429,True,descriptive_small_n_no_p_value
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,50,Monocyte,ets2_log2_cpm1,primary_program_vs_ETS2_log2CPM1,evaluable_descriptive,8,7,0.7857142857142859,True,descriptive_small_n_no_p_value
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,50,Monocyte,inflammation,primary_program_vs_inflammation,evaluable_descriptive,8,7,0.5714285714285715,True,descriptive_small_n_no_p_value
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,50,Monocyte,interferon_gamma,primary_program_vs_interferon_gamma,evaluable_descriptive,8,7,0.8928571428571429,True,descriptive_small_n_no_p_value
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,50,Monocyte,oxidative_stress,primary_program_vs_oxidative_stress,evaluable_descriptive,8,7,0.7500000000000002,True,descriptive_small_n_no_p_value
sn,1873a18a-66fd-4a4d-8277-a872c93f5b59,sn,nucleus,20,ActMac,apoptotic_signaling,primary_program_vs_apoptotic_signaling,no_observed_context,0,0,,True,descriptive_small_n_no_p_value
sn,1873a18a-66fd-4a4d-8277-a872c93f5b59,sn,nucleus,20,ActMac,ets2_log2_cpm1,primary_program_vs_ETS2_log2CPM1,no_observed_context,0,0,,True,descriptive_small_n_no_p_value
sn,1873a18a-66fd-4a4d-8277-a872c93f5b59,sn,nucleus,20,ActMac,inflammation,primary_program_vs_inflammation,no_observed_context,0,0,,True,descriptive_small_n_no_p_value
sn,1873a18a-66fd-4a4d-8277-a872c93f5b59,sn,nucleus,20,ActMac,interferon_gamma,primary_program_vs_interferon_gamma,no_observed_context,0,0,,True,descriptive_small_n_no_p_value
sn,1873a18a-66fd-4a4d-8277-a872c93f5b59,sn,nucleus,20,ActMac,oxidative_stress,primary_program_vs_oxidative_stress,no_observed_context,0,0,,True,descriptive_small_n_no_p_value
sn,1873a18a-66fd-4a4d-8277-a872c93f5b59,sn,nucleus,50,ActMac,apoptotic_signaling,primary_program_vs_apoptotic_signaling,no_observed_context,0,0,,True,descriptive_small_n_no_p_value
sn,1873a18a-66fd-4a4d-8277-a872c93f5b59,sn,nucleus,50,ActMac,ets2_log2_cpm1,primary_program_vs_ETS2_log2CPM1,no_observed_context,0,0,,True,descriptive_small_n_no_p_value
sn,1873a18a-66fd-4a4d-8277-a872c93f5b59,sn,nucleus,50,ActMac,inflammation,primary_program_vs_inflammation,no_observed_context,0,0,,True,descriptive_small_n_no_p_value
sn,1873a18a-66fd-4a4d-8277-a872c93f5b59,sn,nucleus,50,ActMac,interferon_gamma,primary_program_vs_interferon_gamma,no_observed_context,0,0,,True,descriptive_small_n_no_p_value
sn,1873a18a-66fd-4a4d-8277-a872c93f5b59,sn,nucleus,50,ActMac,oxidative_stress,primary_program_vs_oxidative_stress,no_observed_context,0,0,,True,descriptive_small_n_no_p_value
sn,1873a18a-66fd-4a4d-8277-a872c93f5b59,sn,nucleus,20,Kupffer,apoptotic_signaling,primary_program_vs_apoptotic_signaling,evaluable_descriptive,7,6,0.4285714285714286,True,descriptive_small_n_no_p_value
sn,1873a18a-66fd-4a4d-8277-a872c93f5b59,sn,nucleus,20,Kupffer,ets2_log2_cpm1,primary_program_vs_ETS2_log2CPM1,evaluable_descriptive,7,6,0.3714285714285715,True,descriptive_small_n_no_p_value
sn,1873a18a-66fd-4a4d-8277-a872c93f5b59,sn,nucleus,20,Kupffer,inflammation,primary_program_vs_inflammation,evaluable_descriptive,7,6,0.7714285714285715,True,descriptive_small_n_no_p_value
sn,1873a18a-66fd-4a4d-8277-a872c93f5b59,sn,nucleus,20,Kupffer,interferon_gamma,primary_program_vs_interferon_gamma,evaluable_descriptive,7,6,0.8285714285714287,True,descriptive_small_n_no_p_value
