comparison,left_experiment,right_experiment,n_shared_unique,n_t,n_logFC,spearman_signed_t,spearman_logFC,directional_status,orientation_multiplier_left,orientation_multiplier_right,directional_note,direction_agreement_t,direction_agreement_t_n,direction_agreement_t_same_n,direction_agreement_t_opposite_n,direction_agreement_t_left_zero_n,direction_agreement_t_right_zero_n,direction_agreement_t_both_zero_n,direction_agreement_t_one_zero_n,direction_agreement_logFC,direction_agreement_logFC_n,direction_agreement_logFC_same_n,direction_agreement_logFC_opposite_n,direction_agreement_logFC_left_zero_n,direction_agreement_logFC_right_zero_n,direction_agreement_logFC_both_zero_n,direction_agreement_logFC_one_zero_n
g1-v-g2,g1,g2,12144,12144,12144,0.85809948547426751,0.84052960717737468,available,1,1,Both vectors have validated orientation,0.82905138339920947,12144,10068,2076,0,0,0,0,0.82905138339920947,12144,10068,2076,0,0,0,0
g1-v-chr21,g1,chr21,12144,12144,12144,0.68182365870535822,0.66439474463360826,available,1,1,Both vectors have validated orientation,0.73987154150197632,12144,8985,3159,0,0,0,0,0.73987154150197632,12144,8985,3159,0,0,0,0
g1-v-OE250,g1,OE250,9659,9659,9659,0.038367633269680984,0.053756901462075138,available,1,1,Both vectors have validated orientation,0.51278600269179009,9659,4953,4706,0,0,0,0,0.51278600269179009,9659,4953,4706,0,0,0,0
g1-v-OE500,g1,OE500,9659,9659,9659,-0.091872639213580132,-0.1091203651728872,available,1,1,Both vectors have validated orientation,0.47209856092763225,9659,4560,5099,0,0,0,0,0.47209856092763225,9659,4560,5099,0,0,0,0
OE250-v-OE500,OE250,OE500,10196,10196,10196,0.59349738348966774,0.54525026071537153,available,1,1,Both vectors have validated orientation,0.69919576304433106,10196,7129,3067,0,0,0,0,0.69919576304433106,10196,7129,3067,0,0,0,0
g1-v-MEKi0.1,g1,MEKi0.1,11036,11036,0,,,unavailable_unresolved_orientation,1,,MEKi rank-file orientation is unresolved; overlap counts are retained and directional metrics are unavailable,,,,,,,,,,,,,,,,
g1-v-MEKi0.5,g1,MEKi0.5,11036,11036,0,,,unavailable_unresolved_orientation,1,,MEKi rank-file orientation is unresolved; overlap counts are retained and directional metrics are unavailable,,,,,,,,,,,,,,,,
