dataset_key,dataset_id,modality,suspension_type,assay,cohort,author_cell_type,ontology_cell_type,exclusion_reason,cell_count,retained_cell_count,excluded_cell_count,donor_count_observed,library_count_observed
sn,1873a18a-66fd-4a4d-8277-a872c93f5b59,sn,nucleus,10x 3' v3,PSC,CholMucus,intrahepatic cholangiocyte,,118,118,0,5,5
sn,1873a18a-66fd-4a4d-8277-a872c93f5b59,sn,nucleus,10x 3' v3,PSC,Fibroblast,fibroblast,,408,408,0,7,7
sn,1873a18a-66fd-4a4d-8277-a872c93f5b59,sn,nucleus,10x 3' v3,PSC,Hepato-Doublet,unknown,cell_type_unknown;author_cell_type_doublet,1408,0,1408,7,7
sn,1873a18a-66fd-4a4d-8277-a872c93f5b59,sn,nucleus,10x 3' v3,PSC,I-Hepato,midzonal region hepatocyte,,886,886,0,7,7
sn,1873a18a-66fd-4a4d-8277-a872c93f5b59,sn,nucleus,10x 3' v3,PSC,Kupffer,Kupffer cell,,2018,2018,0,7,7
sn,1873a18a-66fd-4a4d-8277-a872c93f5b59,sn,nucleus,10x 3' v3,PSC,Kupffer-Doublet,unknown,cell_type_unknown;author_cell_type_doublet,741,0,741,7,7
sn,1873a18a-66fd-4a4d-8277-a872c93f5b59,sn,nucleus,10x 3' v3,PSC,Monocyte,monocyte,,1331,1331,0,7,7
sn,1873a18a-66fd-4a4d-8277-a872c93f5b59,sn,nucleus,10x 3' v3,PSC,P-Hepato,periportal region hepatocyte,,20113,20113,0,7,7
sn,1873a18a-66fd-4a4d-8277-a872c93f5b59,sn,nucleus,10x 3' v3,PSC,P-Hepato2,periportal region hepatocyte,,1748,1748,0,7,7
sn,1873a18a-66fd-4a4d-8277-a872c93f5b59,sn,nucleus,10x 3' v3,PSC,Prolif,unknown,cell_type_unknown,513,0,513,7,7
sn,1873a18a-66fd-4a4d-8277-a872c93f5b59,sn,nucleus,10x 3' v3,PSC,Prolif-Mac,macrophage,,197,197,0,7,7
sn,1873a18a-66fd-4a4d-8277-a872c93f5b59,sn,nucleus,10x 3' v3,PSC,Stellate,hepatic stellate cell,,1073,1073,0,7,7
sn,1873a18a-66fd-4a4d-8277-a872c93f5b59,sn,nucleus,10x 3' v3,PSC,Stellate-Doublet,unknown,cell_type_unknown;author_cell_type_doublet,429,0,429,7,7
sn,1873a18a-66fd-4a4d-8277-a872c93f5b59,sn,nucleus,10x 3' v3,PSC,Tcell-Doublet,unknown,cell_type_unknown;author_cell_type_doublet,416,0,416,7,7
sn,1873a18a-66fd-4a4d-8277-a872c93f5b59,sn,nucleus,10x 3' v3,PSC,VSMC,vascular associated smooth muscle cell,,462,462,0,7,7
sn,1873a18a-66fd-4a4d-8277-a872c93f5b59,sn,nucleus,10x 3' v3,PSC,aStellate,hepatic stellate cell,,1634,1634,0,7,7
sn,1873a18a-66fd-4a4d-8277-a872c93f5b59,sn,nucleus,10x 3' v3,PSC,cvEndo,vein endothelial cell,,138,138,0,6,6
sn,1873a18a-66fd-4a4d-8277-a872c93f5b59,sn,nucleus,10x 3' v3,PSC,cvLSEC,endothelial cell of pericentral hepatic sinusoid,,2534,2534,0,7,7
sn,1873a18a-66fd-4a4d-8277-a872c93f5b59,sn,nucleus,10x 3' v3,PSC,cvLSEC--Mac,unknown,cell_type_unknown;author_cell_type_double_hyphen,102,0,102,7,7
sn,1873a18a-66fd-4a4d-8277-a872c93f5b59,sn,nucleus,10x 3' v3,PSC,cvLSEC-Doublet,unknown,cell_type_unknown;author_cell_type_doublet,702,0,702,7,7
sn,1873a18a-66fd-4a4d-8277-a872c93f5b59,sn,nucleus,10x 3' v3,PSC,lrNK,hepatic pit cell,,820,820,0,7,7
sn,1873a18a-66fd-4a4d-8277-a872c93f5b59,sn,nucleus,10x 3' v3,PSC,ppLSEC,endothelial cell of periportal hepatic sinusoid,,1528,1528,0,7,7
