"dataset_id","best_matching_integer_residual_df","median_abs_log10_P_error","p95_abs_log10_P_error","max_abs_log10_P_error","normal_median_abs_log10_P_error","normal_max_abs_log10_P_error"
"IBDverse-original-Myeloid-0",69,7.71250529980676e-09,8.81110056075799e-08,7.57028476718805e-07,0.00222786657119913,1.12551422006352
"IBDverse-original-Myeloid-1",66,6.90638645817642e-09,8.32907112647464e-08,5.83140566847701e-07,0.00189317014696401,3.83140252856264
"IBDverse-original-Myeloid-3",73,8.05730007920097e-09,5.92421506557443e-08,4.29603880918924e-07,0.00205503483729485,0.398358658839637
"IBDverse-original-Myeloid-7",2,7.37935460581388e-09,3.93516320727945e-08,1.0476449912904e-07,0.128515883062178,485.993484412553
