source_member,column,row_index,ensembl_id,is_excluded,exclusion_reason
RNA-seq/RNAseq_biopsies/ets2_genesetsENSG_MASTER.csv,ETS2g1_DN,46,ENSG00000268500,false,
RNA-seq/RNAseq_biopsies/ets2_genesetsENSG_MASTER.csv,ETS2g1_DN,47,ENSG00000050438,false,
RNA-seq/RNAseq_biopsies/ets2_genesetsENSG_MASTER.csv,ETS2g1_DN,48,ENSG00000183762,false,
RNA-seq/RNAseq_biopsies/ets2_genesetsENSG_MASTER.csv,ETS2g1_DN,49,ENSG00000121858,false,
RNA-seq/RNAseq_biopsies/ets2_genesetsENSG_MASTER.csv,ETS2g1_DN,50,ENSG00000177575,false,
RNA-seq/RNAseq_biopsies/ets2_genesetsENSG_MASTER.csv,ETS2g1_DN,51,ENSG00000101000,false,
RNA-seq/RNAseq_biopsies/ets2_genesetsENSG_MASTER.csv,ETS2g1_DN,52,ENSG00000164292,false,
RNA-seq/RNAseq_biopsies/ets2_genesetsENSG_MASTER.csv,ETS2g1_DN,53,ENSG00000187193,false,
RNA-seq/RNAseq_biopsies/ets2_genesetsENSG_MASTER.csv,ETS2g1_DN,54,ENSG00000125148,false,
RNA-seq/RNAseq_biopsies/ets2_genesetsENSG_MASTER.csv,ETS2g1_DN,55,ENSG00000023892,false,
RNA-seq/RNAseq_biopsies/ets2_genesetsENSG_MASTER.csv,ETS2g1_DN,56,ENSG00000172349,false,
RNA-seq/RNAseq_biopsies/ets2_genesetsENSG_MASTER.csv,ETS2g1_DN,57,ENSG00000123104,false,
RNA-seq/RNAseq_biopsies/ets2_genesetsENSG_MASTER.csv,ETS2g1_DN,58,ENSG00000149131,false,
RNA-seq/RNAseq_biopsies/ets2_genesetsENSG_MASTER.csv,ETS2g1_DN,59,ENSG00000114541,false,
RNA-seq/RNAseq_biopsies/ets2_genesetsENSG_MASTER.csv,ETS2g1_DN,60,ENSG00000123329,false,
RNA-seq/RNAseq_biopsies/ets2_genesetsENSG_MASTER.csv,ETS2g1_DN,61,ENSG00000050730,false,
RNA-seq/RNAseq_biopsies/ets2_genesetsENSG_MASTER.csv,ETS2g1_DN,62,ENSG00000134516,false,
RNA-seq/RNAseq_biopsies/ets2_genesetsENSG_MASTER.csv,ETS2g1_DN,63,ENSG00000139629,false,
RNA-seq/RNAseq_biopsies/ets2_genesetsENSG_MASTER.csv,ETS2g1_DN,64,ENSG00000197321,false,
RNA-seq/RNAseq_biopsies/ets2_genesetsENSG_MASTER.csv,ETS2g1_DN,65,ENSG00000082074,false,
RNA-seq/RNAseq_biopsies/ets2_genesetsENSG_MASTER.csv,ETS2g1_DN,66,ENSG00000198876,false,
RNA-seq/RNAseq_biopsies/ets2_genesetsENSG_MASTER.csv,ETS2g1_DN,67,ENSG00000163154,false,
RNA-seq/RNAseq_biopsies/ets2_genesetsENSG_MASTER.csv,ETS2g1_DN,68,ENSG00000254415,false,
RNA-seq/RNAseq_biopsies/ets2_genesetsENSG_MASTER.csv,ETS2g1_DN,69,ENSG00000174130,false,
RNA-seq/RNAseq_biopsies/ets2_genesetsENSG_MASTER.csv,ETS2g1_DN,70,ENSG00000143546,false,
RNA-seq/RNAseq_biopsies/ets2_genesetsENSG_MASTER.csv,ETS2g1_DN,71,ENSG00000103811,false,
RNA-seq/RNAseq_biopsies/ets2_genesetsENSG_MASTER.csv,ETS2g1_DN,72,ENSG00000110934,false,
RNA-seq/RNAseq_biopsies/ets2_genesetsENSG_MASTER.csv,ETS2g1_DN,73,ENSG00000173482,false,
RNA-seq/RNAseq_biopsies/ets2_genesetsENSG_MASTER.csv,ETS2g1_DN,74,ENSG00000119772,false,
RNA-seq/RNAseq_biopsies/ets2_genesetsENSG_MASTER.csv,ETS2g1_DN,75,ENSG00000124357,false,
RNA-seq/RNAseq_biopsies/ets2_genesetsENSG_MASTER.csv,ETS2g1_DN,76,ENSG00000124731,false,
RNA-seq/RNAseq_biopsies/ets2_genesetsENSG_MASTER.csv,ETS2g1_DN,77,ENSG00000168995,false,
RNA-seq/RNAseq_biopsies/ets2_genesetsENSG_MASTER.csv,ETS2g1_DN,78,ENSG00000142185,false,
RNA-seq/RNAseq_biopsies/ets2_genesetsENSG_MASTER.csv,ETS2g1_DN,79,ENSG00000188786,false,
RNA-seq/RNAseq_biopsies/ets2_genesetsENSG_MASTER.csv,ETS2g1_DN,80,ENSG00000163739,false,
RNA-seq/RNAseq_biopsies/ets2_genesetsENSG_MASTER.csv,ETS2g1_DN,81,ENSG00000174125,false,
RNA-seq/RNAseq_biopsies/ets2_genesetsENSG_MASTER.csv,ETS2g1_DN,82,ENSG00000171051,false,
RNA-seq/RNAseq_biopsies/ets2_genesetsENSG_MASTER.csv,ETS2g1_DN,83,ENSG00000116016,false,
RNA-seq/RNAseq_biopsies/ets2_genesetsENSG_MASTER.csv,ETS2g1_DN,84,ENSG00000163874,false,
RNA-seq/RNAseq_biopsies/ets2_genesetsENSG_MASTER.csv,ETS2g1_DN,85,ENSG00000130755,false,
RNA-seq/RNAseq_biopsies/ets2_genesetsENSG_MASTER.csv,ETS2g1_DN,86,ENSG00000244405,false,
RNA-seq/RNAseq_biopsies/ets2_genesetsENSG_MASTER.csv,ETS2g1_DN,87,ENSG00000089820,false,
RNA-seq/RNAseq_biopsies/ets2_genesetsENSG_MASTER.csv,ETS2g1_DN,88,ENSG00000134215,false,
RNA-seq/RNAseq_biopsies/ets2_genesetsENSG_MASTER.csv,ETS2g1_DN,89,ENSG00000093072,false,
RNA-seq/RNAseq_biopsies/ets2_genesetsENSG_MASTER.csv,ETS2g1_DN,90,ENSG00000019169,false,
RNA-seq/RNAseq_biopsies/ets2_genesetsENSG_MASTER.csv,ETS2g1_DN,91,ENSG00000143217,false,
RNA-seq/RNAseq_biopsies/ets2_genesetsENSG_MASTER.csv,ETS2g1_DN,92,ENSG00000172716,false,
