source_data_sheet,source_data_row_number,cell_column,value_original,workbook_sha256
5j,13,A,Pathway = Gene Ontology Biological Pathway,b55d3998747dbfd45384f8c11116965029b29c24d8b764f8e4b40811d8594b9a
5j,14,A,NES = normalised enrichment score,b55d3998747dbfd45384f8c11116965029b29c24d8b764f8e4b40811d8594b9a
5j,15,A,NES and P-value calculated for MEK inhibitor-treated versus vehicle-treated cells,b55d3998747dbfd45384f8c11116965029b29c24d8b764f8e4b40811d8594b9a
5j,18,A,Data available on EGA: EGAD00001011337,b55d3998747dbfd45384f8c11116965029b29c24d8b764f8e4b40811d8594b9a
5j,19,A,Code available on GitHub: https://github.com/JamesLeeLab/chr21q22_manuscript,b55d3998747dbfd45384f8c11116965029b29c24d8b764f8e4b40811d8594b9a
