experiment,source_program,source_set_n,excluded_ets2_n,analysis_set_n,numeric_available_n,numeric_available_fraction,directional_available_n,directional_available_fraction,median_t,median_logFC,negative_n,positive_n,zero_n,fraction_negative,fraction_positive,directional_status,orientation_multiplier,relationship_to_source_program,independence_note
g1,ETS2g1_DN,928,1,927,927,1,927,1,-3.9629804110000002,-0.491013898,927,0,0,1,0,available,1,circular_source_reproduction,Gene-set membership is source-defined; genes are not donor replicates. g1 is circular source reproduction and same-study companions are not independent validation.
g2,ETS2g1_DN,928,1,927,927,1,927,1,-3.7071680489999999,-0.44202208100000001,927,0,0,1,0,available,1,related_guide_companion_same_study,Gene-set membership is source-defined; genes are not donor replicates. g1 is circular source reproduction and same-study companions are not independent validation.
chr21,ETS2g1_DN,928,1,927,927,1,927,1,-2.400103434,-0.33125206800000001,909,18,0,0.98058252427184467,0.019417475728155338,available,1,enhancer_deletion_companion_same_study,Gene-set membership is source-defined; genes are not donor replicates. g1 is circular source reproduction and same-study companions are not independent validation.
OE250,ETS2g1_DN,928,1,927,831,0.8964401294498382,831,0.8964401294498382,0.0096094639999999999,0.00099259099999999992,413,418,0,0.49699157641395908,0.50300842358604092,available,1,overexpression_companion_same_study,Gene-set membership is source-defined; genes are not donor replicates. g1 is circular source reproduction and same-study companions are not independent validation.
OE500,ETS2g1_DN,928,1,927,831,0.8964401294498382,831,0.8964401294498382,0.42297319,0.058273322000000002,344,487,0,0.41395908543922982,0.58604091456077012,available,1,overexpression_companion_same_study,Gene-set membership is source-defined; genes are not donor replicates. g1 is circular source reproduction and same-study companions are not independent validation.
MEKi0.1,ETS2g1_DN,928,1,927,775,0.83603020496224378,,,-3.7885470290000001,,,,,,,unavailable_unresolved_orientation,,drug_response_companion_same_study,Gene-set membership is source-defined; genes are not donor replicates. g1 is circular source reproduction and same-study companions are not independent validation.
MEKi0.5,ETS2g1_DN,928,1,927,775,0.83603020496224378,,,-4.9613844609999997,,,,,,,unavailable_unresolved_orientation,,drug_response_companion_same_study,Gene-set membership is source-defined; genes are not donor replicates. g1 is circular source reproduction and same-study companions are not independent validation.
