program_id,parent_program_id,source_namespace,source_member_count_raw,source_unique_member_count,ets2_excluded_member_count,intended_member_count_after_ets2_exclusion,crosswalk_mapped_unique_entrez_gene_count,array_mapped_unique_entrez_gene_count,array_mapped_source_member_count,mapping_fraction,retained_mapping_fraction,gate_evaluated_mapping_fraction,gate_evaluated_mapped_unique_entrez_gene_count,retained_mapped_unique_entrez_gene_count,retained_mapping_denominator,parent_mapping_denominator,parent_array_mapped_unique_entrez_gene_count,parent_mapping_fraction,coverage_gate_fraction,coverage_gate_minimum_genes,coverage_gate_basis,coverage_gate_pass,mapped_comparator_overlap_unique_entrez_gene_count,member_status_counts,crosswalk_status_counts,array_status_counts,source_member_definition,source_member_file
ets2_g1_dn,,Ensembl_gene_id,928,928,1,927,828,801,801,0.864077669903,0.864077669903,0.864077669903,801,801,927,,,,0.8,10,source member denominator after ETS2 exclusion,true,0,"{""excluded_ets2"": 1, ""mapped_crosswalk_no_eligible_array_probe"": 27, ""mapped_eligible_array_gene"": 801, ""not_array_mapped"": 99}","{""ambiguous_ensembl_entrez_relation"": 74, ""missing_ensembl_id_in_snapshot"": 2, ""missing_entrez_relation"": 23, ""reciprocal_one_to_one"": 828}","{""mapped_crosswalk_no_eligible_array_probe"": 27, ""mapped_eligible_array_gene"": 801, ""not_array_mapped"": 99}",ETS2g1_DN,RNA-seq/RNAseq_biopsies/ets2_genesetsENSG_MASTER.csv
ets2_g1_up,,Ensembl_gene_id,668,668,0,668,537,518,518,0.775449101796,0.775449101796,0.775449101796,518,518,668,,,,0.8,10,source member denominator after ETS2 exclusion,false,0,"{""mapped_crosswalk_no_eligible_array_probe"": 19, ""mapped_eligible_array_gene"": 518, ""not_array_mapped"": 131}","{""ambiguous_ensembl_entrez_relation"": 43, ""missing_ensembl_id_in_snapshot"": 2, ""missing_entrez_relation"": 86, ""reciprocal_one_to_one"": 537}","{""mapped_crosswalk_no_eligible_array_probe"": 19, ""mapped_eligible_array_gene"": 518, ""not_array_mapped"": 131}",ETS2g1_UP,RNA-seq/RNAseq_biopsies/ets2_genesetsENSG_MASTER.csv
ets2_g2_dn,,Ensembl_gene_id,875,875,0,875,791,764,764,0.873142857143,0.873142857143,0.873142857143,764,764,875,,,,0.8,10,source member denominator after ETS2 exclusion,true,0,"{""mapped_crosswalk_no_eligible_array_probe"": 27, ""mapped_eligible_array_gene"": 764, ""not_array_mapped"": 84}","{""ambiguous_ensembl_entrez_relation"": 64, ""missing_ensembl_id_in_snapshot"": 1, ""missing_entrez_relation"": 19, ""reciprocal_one_to_one"": 791}","{""mapped_crosswalk_no_eligible_array_probe"": 27, ""mapped_eligible_array_gene"": 764, ""not_array_mapped"": 84}",ETS2g2_DN,RNA-seq/RNAseq_biopsies/ets2_genesetsENSG_MASTER.csv
chr21_dn,,Ensembl_gene_id,141,141,0,141,122,120,120,0.851063829787,0.851063829787,0.851063829787,120,120,141,,,,0.8,10,source member denominator after ETS2 exclusion,true,0,"{""mapped_crosswalk_no_eligible_array_probe"": 2, ""mapped_eligible_array_gene"": 120, ""not_array_mapped"": 19}","{""ambiguous_ensembl_entrez_relation"": 13, ""missing_entrez_relation"": 6, ""reciprocal_one_to_one"": 122}","{""mapped_crosswalk_no_eligible_array_probe"": 2, ""mapped_eligible_array_gene"": 120, ""not_array_mapped"": 19}",CHR21_DN,RNA-seq/RNAseq_biopsies/ets2_genesetsENSG_MASTER.csv
inflammation,,HGNC_symbol,815,815,0,815,744,666,666,0.81717791411,0.81717791411,0.81717791411,666,666,815,,,,0.8,10,source member denominator after ETS2 exclusion,true,0,"{""mapped_crosswalk_no_eligible_array_probe"": 78, ""mapped_eligible_array_gene"": 666, ""not_array_mapped"": 71}","{""ambiguous_ensembl_entrez_relation"": 4, ""ambiguous_hgnc_symbol"": 62, ""missing_entrez_relation"": 2, ""missing_hgnc_symbol"": 3, ""reciprocal_one_to_one"": 744}","{""mapped_crosswalk_no_eligible_array_probe"": 78, ""mapped_eligible_array_gene"": 666, ""not_array_mapped"": 71}",GOBP_INFLAMMATORY_RESPONSE,RNA-seq/RNAseq_CRISPR/GOBP_genesets.csv
interferon_gamma,,HGNC_symbol,139,139,0,139,118,114,114,0.820143884892,0.820143884892,0.820143884892,114,114,139,,,,0.8,10,source member denominator after ETS2 exclusion,true,0,"{""mapped_crosswalk_no_eligible_array_probe"": 4, ""mapped_eligible_array_gene"": 114, ""not_array_mapped"": 21}","{""ambiguous_ensembl_entrez_relation"": 3, ""ambiguous_hgnc_symbol"": 16, ""missing_hgnc_symbol"": 2, ""reciprocal_one_to_one"": 118}","{""mapped_crosswalk_no_eligible_array_probe"": 4, ""mapped_eligible_array_gene"": 114, ""not_array_mapped"": 21}",GOBP_RESPONSE_TO_INTERFERON_GAMMA,RNA-seq/RNAseq_CRISPR/GOBP_genesets.csv
oxidative_stress,,HGNC_symbol,436,436,0,436,400,378,378,0.866972477064,0.866972477064,0.866972477064,378,378,436,,,,0.8,10,source member denominator after ETS2 exclusion,true,0,"{""mapped_crosswalk_no_eligible_array_probe"": 22, ""mapped_eligible_array_gene"": 378, ""not_array_mapped"": 36}","{""ambiguous_ensembl_entrez_relation"": 2, ""ambiguous_hgnc_symbol"": 31, ""missing_entrez_relation"": 1, ""missing_hgnc_symbol"": 2, ""reciprocal_one_to_one"": 400}","{""mapped_crosswalk_no_eligible_array_probe"": 22, ""mapped_eligible_array_gene"": 378, ""not_array_mapped"": 36}",GOBP_RESPONSE_TO_OXIDATIVE_STRESS,RNA-seq/RNAseq_CRISPR/GOBP_genesets.csv
apoptotic_signaling,,HGNC_symbol,588,588,0,588,542,512,512,0.87074829932,0.87074829932,0.87074829932,512,512,588,,,,0.8,10,source member denominator after ETS2 exclusion,true,0,"{""mapped_crosswalk_no_eligible_array_probe"": 30, ""mapped_eligible_array_gene"": 512, ""not_array_mapped"": 46}","{""ambiguous_ensembl_entrez_relation"": 1, ""ambiguous_hgnc_symbol"": 43, ""missing_entrez_relation"": 1, ""missing_hgnc_symbol"": 1, ""reciprocal_one_to_one"": 542}","{""mapped_crosswalk_no_eligible_array_probe"": 30, ""mapped_eligible_array_gene"": 512, ""not_array_mapped"": 46}",GOBP_APOPTOTIC_SIGNALING_PATHWAY,RNA-seq/RNAseq_CRISPR/GOBP_genesets.csv
ets2_g1_dn_without_comparators,ets2_g1_dn,derived_entrez_space,928,928,1,927,676,652,652,0.864077669903,0.70334412082,0.864077669903,801,652,927,927,801,0.864077669903,0.8,10,parent ets2_g1_dn coverage gate plus derived remaining-gene minimum,true,149,"{""excluded_ets2"": 1, ""mapped_comparator_overlap"": 149, ""mapped_crosswalk_no_eligible_array_probe"": 27, ""mapped_nonoverlap"": 652, ""not_array_mapped"": 99}","{""ambiguous_ensembl_entrez_relation"": 74, ""missing_ensembl_id_in_snapshot"": 2, ""missing_entrez_relation"": 23, ""reciprocal_one_to_one"": 828}","{""mapped_crosswalk_no_eligible_array_probe"": 27, ""mapped_eligible_array_gene"": 801, ""not_array_mapped"": 99}",mapped primary minus mapped comparator union,derived from ets2_g1_dn in Entrez space
